image_name,image_type,levels_of_scale,strong_centers,boundaries,alternating_repetition,positive_space,good_shape,local_symmetries,deep_interlock_and_ambiguity,contrast,gradients,roughness,echoes,the_void,simplicity_and_inner_calm,not_separateness
301.jpg,urban,4,3,5,2,4,3,4,2,5,6,6,3,7,6,7
302.jpg,urban,6,5,7,4,6,5,3,4,5,8,7,6,7,8,8
305.jpg,urban,6,7,5,4,6,6,5,7,8,7,9,5,7,8,8
307.jpg,urban,6,7,7,5,6,7,8,4,6,5,6,7,5,7,6
314.jpg,urban,6,5,7,6,8,7,6,7,6,8,7,7,9,8,8
316.jpg,urban,7,6,8,5,6,7,6,7,8,7,8,7,6,7,8
319.jpg,urban,7,8,8,6,7,7,6,7,6,8,8,7,6,8,9
320.jpg,urban,6,4,7,5,6,7,5,6,6,8,7,7,7,8,8
323.jpg,urban,6,4,8,5,7,6,7,4,6,8,7,6,8,8,7
330.jpg,urban,8,7,6,5,7,7,6,5,7,6,8,7,8,8,9
331.jpg,urban,8,9,7,6,8,8,7,7,8,6,8,7,8,9,8
332.jpg,urban,8,9,7,6,7,8,7,6,8,7,9,7,8,8,8
336.jpg,urban,6,4,7,5,5,6,3,4,6,7,7,5,6,6,7
341.jpg,urban,8,9,7,7,8,8,8,6,7,8,7,8,8,9,8
344.jpg,urban,7,6,8,5,7,6,5,6,7,8,7,6,6,8,8
345.jpg,urban,8,7,8,6,7,7,6,7,8,8,7,7,7,8,8
346.jpg,urban,6,5,7,8,4,5,7,4,7,5,3,8,6,4,5
347.jpg,urban,4,5,6,3,4,4,5,2,6,5,3,4,6,5,3
348.jpg,urban,6,8,7,4,7,7,6,5,6,7,8,5,6,7,8
359.jpg,urban,8,9,7,6,8,7,6,7,8,8,8,7,7,9,9
360.jpg,urban,8,9,7,6,8,8,7,6,8,7,8,7,8,9,9
369.jpg,urban,7,6,8,5,6,7,7,5,6,7,8,6,5,7,8
371.jpg,urban,6,7,8,5,7,6,7,4,6,8,7,6,8,8,8
372.jpg,urban,7,6,8,5,7,6,4,7,6,8,8,6,7,8,9
374.jpg,urban,7,8,7,4,6,6,5,6,7,8,8,5,8,8,9
378.jpg,urban,6,5,7,4,6,6,5,4,6,7,7,6,7,7,8
380.jpg,urban,6,7,5,4,5,6,7,4,6,7,6,5,6,7,6
386.jpg,urban,8,9,7,6,7,8,7,8,7,8,9,6,8,9,9
390.jpg,urban,8,9,7,6,7,8,8,6,8,5,9,7,6,8,7
395.jpg,urban,7,6,8,5,7,6,4,8,7,8,8,6,7,8,9
396.jpg,urban,8,9,7,6,7,8,7,6,8,7,9,8,6,8,9
397.jpg,urban,8,7,8,6,7,7,6,7,7,8,8,7,8,8,8
399.jpg,urban,8,9,7,6,8,7,6,5,6,7,8,7,8,9,9
400.jpg,urban,8,9,7,6,7,8,7,6,8,7,9,8,8,8,9
402.jpg,urban,7,8,6,4,7,7,6,6,7,8,8,6,8,9,8
403.jpg,urban,6,4,5,3,4,5,4,3,6,7,7,5,6,6,6
404.jpg,urban,6,4,7,5,6,5,6,7,6,8,8,7,7,8,8
410.jpg,urban,6,4,7,5,6,5,3,6,7,8,8,6,7,7,8
411.jpg,urban,8,7,8,6,7,7,6,7,8,8,8,7,7,8,9
417.jpg,urban,3,2,4,5,2,2,6,1,6,5,6,7,3,4,2
418.jpg,urban,4,7,6,3,4,5,6,2,7,5,6,5,7,6,3
420.jpg,urban,6,8,7,5,6,7,8,4,6,5,6,7,5,7,5
421.jpg,urban,6,7,8,4,6,7,6,5,7,8,7,5,7,8,7
423.jpg,urban,8,7,8,6,8,7,5,6,7,8,9,7,7,8,9
424.jpg,urban,8,7,8,6,8,7,6,8,7,9,8,7,8,9,9
426.jpg,urban,8,9,7,6,8,8,7,6,8,7,8,7,8,9,9
427.jpg,urban,8,7,8,6,7,8,6,9,8,9,9,7,7,8,9
428.jpg,urban,8,9,8,9,8,7,8,6,7,8,7,9,6,9,9
432.jpg,urban,6,7,8,4,7,6,7,5,6,7,6,5,6,8,8
433.jpg,urban,8,7,6,5,7,7,6,6,8,7,8,6,6,7,8
437.jpg,urban,7,6,8,5,7,7,6,6,6,8,8,7,6,8,9
438.jpg,urban,4,3,5,2,4,4,3,3,6,7,6,4,7,7,6
441.jpg,urban,8,6,7,5,7,6,4,7,8,9,8,6,6,8,9
446.jpg,urban,6,4,7,5,6,5,3,6,6,7,7,6,5,7,8
450.jpg,urban,6,4,7,5,6,6,5,6,6,8,7,6,7,8,8
457.jpg,urban,4,3,6,2,5,4,3,4,6,7,7,5,7,6,6
461.jpg,urban,7,8,6,4,7,7,6,5,6,8,8,6,8,9,9
462.jpg,urban,6,5,7,4,6,5,6,4,6,7,7,5,8,8,7
466.jpg,urban,7,6,8,8,7,7,6,5,8,6,7,7,6,7,8
471.jpg,urban,4,3,6,5,4,5,4,3,5,6,7,6,5,6,7
472.jpg,urban,4,6,5,3,3,4,3,2,5,4,6,4,4,3,2
473.jpg,urban,7,8,6,5,6,7,6,7,6,7,8,6,7,8,8
476.jpg,urban,8,7,6,5,7,6,6,8,7,8,9,7,7,8,9
477.jpg,urban,6,7,5,4,5,5,6,4,6,7,8,5,6,7,8
483.jpg,urban,7,6,5,4,6,5,6,5,6,7,8,5,7,7,8
484.jpg,urban,6,5,7,4,5,6,5,4,6,5,7,6,4,6,7
485.jpg,urban,6,4,5,3,4,5,4,6,7,6,8,5,6,5,7
489.jpg,urban,6,7,5,6,5,6,7,4,7,4,7,6,5,6,7
494.jpg,urban,7,6,7,5,8,6,7,5,6,8,6,7,8,8,8
496.jpg,urban,8,7,8,6,7,7,6,8,7,9,9,7,8,9,9
499.jpg,urban,4,6,7,5,4,5,7,3,6,5,6,6,5,6,5
500.jpg,urban,8,7,6,7,7,8,6,7,7,8,9,7,6,8,9
503.jpg,urban,8,9,7,6,7,8,7,6,7,6,7,8,6,8,8
504.jpg,urban,7,6,8,5,7,6,4,7,6,8,8,6,7,8,9
505.jpg,urban,6,4,5,3,4,4,5,3,6,5,7,5,6,5,6
508.jpg,urban,8,7,8,6,7,7,6,7,6,8,8,7,8,9,9
513.jpg,urban,4,3,6,5,5,4,6,3,5,7,6,7,8,7,8
514.jpg,urban,7,8,8,6,7,7,7,8,7,8,8,6,6,8,9
516.jpg,urban,8,9,7,6,8,8,7,6,7,8,7,7,8,9,9
520.jpg,urban,7,6,8,5,7,8,4,7,6,8,9,6,5,8,9
521.jpg,urban,7,8,8,6,7,8,7,8,7,9,8,7,6,9,9
533.jpg,urban,7,6,5,4,6,5,3,6,7,8,8,6,7,8,8
535.jpg,urban,6,4,5,3,4,5,4,3,6,7,7,5,6,6,5
543.jpg,urban,6,5,7,4,6,5,6,4,7,8,8,5,7,7,8
550.jpg,urban,7,8,6,5,7,6,5,6,7,8,8,6,8,8,9
553.jpg,urban,8,7,6,6,7,8,7,5,6,7,8,7,6,8,8
557.jpg,urban,8,7,8,6,7,7,6,7,8,7,9,7,8,8,9
559.jpg,urban,8,9,7,6,8,8,7,8,7,6,8,7,7,8,9
581.jpg,urban,4,3,5,3,3,3,4,2,6,6,7,4,5,4,5
582.jpg,urban,6,7,5,4,6,5,6,4,7,7,8,5,7,6,7
583.jpg,urban,7,8,6,5,7,6,4,7,8,8,9,6,7,8,9
586.jpg,urban,7,8,7,5,6,7,6,6,7,8,7,6,7,8,8
590.jpg,urban,6,5,7,4,6,5,4,5,6,7,7,5,6,7,7
591.jpg,urban,6,5,7,4,5,6,6,4,7,5,6,7,6,5,4
593.jpg,urban,4,3,5,4,3,4,3,2,6,5,6,4,4,3,4
598.jpg,urban,8,7,6,5,7,6,4,7,6,8,8,7,8,8,9
605.jpg,urban,7,6,8,5,7,6,5,6,8,7,8,7,8,8,9
610.jpg,urban,6,7,8,5,7,6,8,4,5,7,8,6,6,7,8
614.jpg,urban,7,6,7,6,6,7,6,5,7,6,8,7,7,7,8
617.jpg,urban,7,6,8,7,6,5,4,8,7,6,8,6,5,4,8
618.jpg,urban,7,8,8,6,7,8,5,7,6,8,8,7,6,8,9
622.jpg,urban,8,7,8,6,7,8,7,6,8,7,8,8,7,8,9
631.jpg,urban,7,6,8,5,6,7,5,6,7,6,8,7,5,7,8
632.jpg,urban,7,8,7,5,6,6,7,6,7,6,8,6,5,7,8
633.jpg,urban,7,8,6,5,6,7,6,5,7,4,8,6,5,7,8
647.jpg,urban,4,3,5,6,4,3,4,2,6,7,7,5,7,6,5
651.jpg,urban,8,7,6,5,7,7,6,5,7,6,8,6,7,8,8
654.jpg,urban,7,6,8,5,7,6,4,7,6,8,8,6,5,8,9
662.jpg,urban,8,7,8,4,7,6,6,5,6,9,9,7,8,8,9
664.jpg,urban,8,7,6,5,7,7,4,6,7,8,9,7,8,9,9
676.jpg,urban,8,7,9,6,8,7,5,8,7,9,8,7,6,9,9
683.jpg,urban,8,7,7,6,8,7,6,7,6,8,8,7,8,9,9
686.jpg,urban,8,9,7,6,7,8,7,8,7,6,7,6,5,8,9
690.jpg,urban,6,4,5,3,4,3,2,6,7,8,9,5,6,5,7
693.jpg,urban,6,5,7,4,5,6,5,6,7,6,8,6,6,5,7
701.jpg,urban,6,5,7,4,6,6,5,4,7,6,8,5,7,7,8
704.jpg,urban,6,8,7,5,6,7,8,4,8,5,6,6,7,7,5
713.jpg,urban,4,6,5,3,4,5,6,2,5,6,5,4,3,6,4
728.jpg,urban,8,7,8,6,7,7,6,7,8,8,8,7,8,9,9
731.jpg,urban,7,8,7,6,7,7,8,5,6,5,8,7,6,8,9
741.jpg,urban,6,5,4,3,6,5,4,3,4,7,8,4,7,8,8
743.jpg,urban,8,7,8,6,7,7,6,8,7,8,9,7,6,8,9
746.jpg,urban,7,6,8,5,7,6,4,5,7,8,8,6,8,8,9
748.jpg,urban,8,6,7,5,7,6,4,6,7,8,8,7,6,8,9
750.jpg,urban,8,7,8,6,7,7,5,6,8,9,8,7,8,9,9
761.jpg,urban,8,7,6,5,7,6,4,7,6,8,8,7,8,8,9
762.jpg,urban,8,6,7,7,8,7,5,8,8,9,8,7,7,8,9
772.jpg,urban,8,7,6,4,7,8,5,6,8,9,8,7,8,9,9
780.jpg,urban,7,6,8,5,7,6,4,7,6,9,8,7,8,9,9
782.jpg,urban,6,5,4,6,4,4,5,3,6,5,7,6,3,3,4
787.jpg,urban,7,5,6,4,8,7,3,6,6,8,8,7,8,9,9
789.jpg,urban,4,5,3,2,3,4,5,2,6,5,6,4,4,5,4
790.jpg,urban,6,5,7,4,8,7,3,4,6,8,7,6,8,9,8
792.jpg,urban,6,8,7,4,6,7,8,5,7,6,7,6,5,7,6
795.jpg,urban,4,3,5,6,4,3,4,2,6,3,5,5,6,4,3
803.jpg,urban,6,5,7,4,6,5,4,3,6,7,8,5,7,7,8
812.jpg,urban,7,6,8,5,8,7,6,6,7,8,8,7,9,9,9
813.jpg,urban,4,3,5,6,6,4,5,3,6,7,6,5,7,7,6
816.jpg,urban,6,4,5,7,5,4,6,3,6,7,8,7,6,6,7
817.jpg,urban,8,7,8,6,8,7,5,8,7,9,8,7,8,9,9
825.jpg,urban,6,7,8,5,6,7,6,4,7,5,7,6,5,7,8
834.jpg,urban,8,9,8,6,8,9,7,8,7,9,9,7,6,9,9
842.jpg,urban,6,7,5,4,5,6,6,4,6,4,7,5,6,6,5
847.jpg,urban,4,5,6,3,4,3,2,3,8,7,6,4,6,5,4
855.jpg,urban,8,7,8,6,7,7,6,7,8,8,8,7,8,8,9
856.jpg,urban,8,7,6,7,6,7,6,7,7,8,8,8,7,7,8
857.jpg,urban,6,7,8,5,7,6,5,4,9,8,6,7,8,8,8
860.jpg,urban,6,5,6,4,7,6,5,6,6,7,7,6,8,7,8
861.jpg,urban,6,5,7,4,6,5,4,3,8,7,6,5,7,8,7
872.jpg,urban,6,7,8,8,5,6,7,4,6,7,7,8,6,7,8
874.jpg,urban,7,8,6,7,7,6,8,5,8,7,8,7,8,8,9
894.jpg,urban,4,3,6,5,5,4,3,2,7,8,7,6,8,8,7
903.jpg,urban,7,8,6,4,7,6,5,7,8,8,9,7,8,8,9
914.jpg,urban,7,6,8,5,8,7,6,7,8,9,8,6,9,9,8
942.jpg,urban,7,5,8,4,6,7,6,5,9,8,7,6,8,7,8
951.jpg,urban,7,6,8,5,7,6,4,6,7,8,9,6,5,7,8
954.jpg,urban,6,4,7,5,5,5,3,4,6,7,8,6,6,7,8
959.jpg,urban,8,7,6,5,7,7,6,5,6,7,8,6,8,8,9
961.jpg,urban,7,4,8,6,7,6,3,5,6,8,7,6,8,8,8
974.jpg,urban,7,8,6,5,6,7,4,6,7,8,8,7,7,8,9
976.jpg,urban,7,6,8,5,6,7,4,8,7,6,9,8,7,7,8
992.jpg,urban,6,7,6,4,5,6,5,4,6,7,7,5,6,7,8
994.jpg,urban,8,7,6,5,6,7,4,6,7,8,9,6,7,8,8
995.jpg,urban,7,6,8,5,7,6,5,6,7,8,8,7,6,8,9
1013.jpg,urban,8,7,6,5,8,7,6,7,6,8,8,6,7,8,9
1033.jpg,urban,6,5,4,3,4,4,5,3,6,7,7,5,6,6,5
1047.jpg,urban,7,6,7,5,6,7,6,5,6,7,8,6,7,8,8
1055.jpg,urban,6,7,8,4,7,6,5,4,6,8,7,5,8,8,8
1056.jpg,urban,4,3,5,6,4,5,4,3,6,7,6,7,8,7,6
1057.jpg,urban,6,5,7,6,7,6,4,3,6,8,7,5,8,8,8
1060.jpg,urban,8,9,7,6,7,8,7,6,7,8,7,8,8,9,8
1066.jpg,urban,8,6,8,5,7,7,4,7,8,9,9,6,8,9,9
1079.jpg,urban,6,4,5,3,5,4,3,4,6,7,6,5,6,6,7
1085.jpg,urban,4,6,7,8,5,6,9,4,7,6,7,8,4,6,7
1100.jpg,urban,6,7,8,5,4,5,6,4,7,6,5,6,3,4,5
1101.jpg,urban,4,3,6,5,4,5,7,3,6,5,6,6,5,4,5
1121.jpg,urban,6,4,7,5,5,6,7,3,6,7,5,6,7,6,6
1124.jpg,urban,8,7,8,6,8,7,5,7,8,9,8,7,8,9,9
1158.jpg,urban,3,2,4,6,3,4,5,2,6,5,4,5,4,5,4
1161.jpg,urban,7,8,8,5,7,6,4,6,8,8,8,6,7,8,9
1176.jpg,urban,6,5,7,4,6,5,3,4,7,8,6,5,7,8,7
1182.jpg,urban,7,6,8,5,7,6,5,7,6,8,8,6,7,8,8
1184.jpg,urban,6,8,4,7,5,6,8,4,7,6,7,8,8,6,5
1185.jpg,urban,6,5,7,4,6,5,4,3,8,7,7,5,8,7,6
1189.jpg,urban,7,6,5,4,6,5,3,8,7,8,9,6,7,8,9
1203.jpg,urban,8,9,7,6,7,8,7,8,7,8,9,7,6,8,9
1206.jpg,urban,6,4,5,7,4,3,6,3,7,6,8,6,5,4,6
1211.jpg,urban,7,8,7,6,6,7,8,5,8,6,7,7,5,7,8
1213.jpg,urban,8,7,8,6,7,7,6,7,8,8,8,7,7,8,9
1221.jpg,urban,4,3,5,6,4,4,3,2,7,6,8,5,6,5,7
1226.jpg,urban,4,6,7,5,6,5,7,3,5,8,6,6,7,8,8
1227.jpg,urban,4,6,7,5,6,5,7,3,4,8,7,6,8,8,9
1228.jpg,urban,7,6,8,5,7,6,4,6,7,8,8,6,7,8,9
1236.jpg,urban,6,7,5,4,6,5,6,5,6,7,8,5,7,8,8
1250.jpg,urban,7,8,6,5,6,5,4,6,9,7,8,6,5,3,7
1252.jpg,urban,6,7,5,4,6,6,6,5,6,7,7,6,7,8,8
1254.jpg,urban,7,8,8,6,7,7,6,8,8,7,8,7,8,7,9
1267.jpg,urban,8,7,7,6,7,7,8,6,8,7,8,7,8,8,8
1270.jpg,urban,7,6,8,5,6,7,5,7,8,8,9,7,7,8,9
1283.jpg,urban,6,7,5,4,5,6,5,6,7,7,8,5,6,6,7
1285.jpg,urban,6,5,7,4,6,5,6,5,6,7,8,6,7,8,7
1310.jpg,urban,6,4,7,5,6,5,4,6,6,7,8,6,7,7,8
1313.jpg,urban,7,6,8,5,7,6,4,7,6,8,8,7,8,8,9
1315.jpg,urban,6,5,7,4,6,5,4,5,6,7,8,6,7,8,8
1317.jpg,urban,6,5,7,4,6,7,3,5,7,8,8,6,7,8,8
1327.jpg,urban,6,4,8,7,6,7,6,5,7,8,7,8,7,8,8
1330.jpg,urban,6,7,5,6,4,6,7,4,6,5,7,6,3,6,5
1331.jpg,urban,6,7,8,5,6,7,8,4,7,5,6,6,5,8,7
1332.jpg,urban,6,7,5,4,5,6,6,4,6,7,7,5,6,7,8
1333.jpg,urban,8,9,8,6,8,8,7,9,7,9,8,7,7,9,9
1336.jpg,urban,7,8,9,5,6,7,6,8,7,8,9,6,7,8,9
1337.jpg,urban,4,2,6,3,3,4,5,3,7,6,7,4,5,3,4
1339.jpg,urban,8,7,8,6,7,6,5,7,7,8,8,6,7,8,9
1347.jpg,urban,6,4,7,3,7,6,3,5,5,8,8,6,8,8,9
1349.jpg,urban,7,5,6,4,6,7,3,8,6,8,9,7,7,8,9
1352.jpg,urban,7,6,8,5,7,6,5,4,9,8,7,6,8,9,8
1353.jpg,urban,7,5,6,8,6,5,7,6,8,7,8,9,7,6,7
1354.jpg,urban,7,6,8,5,7,6,5,6,6,8,7,6,7,8,8
1358.jpg,urban,7,6,5,4,6,6,5,7,6,8,8,6,5,7,8
1363.jpg,urban,7,6,7,5,6,6,5,6,7,8,8,6,5,7,8
1366.jpg,urban,6,4,7,3,6,5,4,5,6,8,7,5,7,8,8
1372.jpg,urban,8,7,6,7,6,7,6,8,8,7,9,7,7,8,8
1374.jpg,urban,7,8,7,6,7,7,8,5,8,6,6,7,7,8,7
1375.jpg,urban,8,7,6,5,7,6,6,5,7,6,8,7,5,7,8
1381.jpg,urban,7,8,8,6,7,7,7,6,8,8,8,7,8,8,9
1387.jpg,urban,7,5,8,8,7,6,4,6,7,8,8,7,6,8,8
1393.jpg,urban,7,8,6,7,6,7,6,5,8,7,8,7,7,8,8
1395.jpg,urban,8,9,7,6,8,8,7,7,8,7,6,7,8,8,9
1396.jpg,urban,6,7,8,5,6,7,8,4,7,5,7,6,5,7,6
1397.jpg,urban,6,7,5,4,5,6,6,4,6,7,7,5,6,6,7
1402.jpg,urban,6,4,7,5,6,7,6,4,6,8,7,6,5,7,8
1403.jpg,urban,7,8,6,5,7,7,6,5,7,6,8,6,6,7,8
1406.jpg,urban,6,7,5,4,6,6,7,4,6,7,7,5,8,8,7
1414.jpg,urban,4,3,5,6,4,5,4,3,6,7,6,5,7,6,7
1419.jpg,urban,8,9,7,6,7,8,7,6,8,7,8,7,6,8,9
1420.jpg,urban,6,5,7,7,6,5,6,4,6,7,8,7,7,8,7
1422.jpg,urban,4,7,6,5,5,6,7,3,7,6,4,8,7,6,5
1423.jpg,urban,7,8,6,5,7,7,6,8,6,8,8,6,7,8,9
1424.jpg,urban,6,7,8,8,7,6,5,4,7,6,7,8,6,8,7
1425.jpg,urban,4,3,5,6,4,3,2,3,6,7,6,5,7,5,4
1427.jpg,urban,6,8,5,4,7,7,8,6,8,9,7,6,8,7,8
1428.jpg,urban,4,6,5,3,4,5,4,3,6,5,7,4,6,5,4
1430.jpg,urban,6,4,7,5,6,5,4,3,6,7,7,6,7,8,7
1435.jpg,urban,6,7,7,5,8,6,6,5,7,8,7,6,8,8,8
1440.jpg,urban,6,5,7,4,7,6,4,6,7,8,8,5,8,8,9
1448.jpg,urban,7,6,8,7,8,7,5,6,9,8,8,7,7,8,9
1450.jpg,urban,4,3,6,5,4,5,6,3,7,6,7,5,6,7,6
1454.jpg,urban,8,7,8,6,8,7,6,8,7,9,9,7,8,9,9
1457.jpg,urban,3,4,5,3,4,3,5,2,6,5,7,4,6,4,5
1464.jpg,urban,8,7,8,7,7,7,6,7,8,6,8,8,6,7,8
1466.jpg,urban,6,7,8,5,6,5,6,7,7,8,7,6,7,6,8
1472.jpg,urban,8,9,7,6,7,8,7,6,7,8,8,7,6,8,9
1477.jpg,urban,8,7,6,5,7,8,6,8,7,9,9,7,6,8,9
1478.jpg,urban,4,3,5,4,6,4,3,2,6,7,6,5,8,7,6
1487.jpg,urban,4,3,5,2,6,4,3,2,5,6,7,4,8,7,6
1496.jpg,urban,4,3,6,5,4,3,6,2,7,6,5,5,7,6,5
1504.jpg,urban,8,7,8,6,7,7,6,5,7,8,7,7,8,8,9
1507.jpg,urban,6,5,7,4,6,5,4,6,6,7,8,5,7,7,8
1508.jpg,urban,6,5,7,4,6,5,4,6,7,8,7,5,7,7,8
1511.jpg,urban,7,6,8,5,7,6,5,6,7,8,8,6,7,8,8
1512.jpg,urban,4,3,5,2,4,3,4,3,6,7,8,3,6,5,6
1514.jpg,urban,7,6,8,7,7,6,5,6,8,8,8,7,8,8,9
1521.jpg,urban,7,6,8,5,7,6,5,4,7,8,8,6,7,8,8
1534.jpg,urban,7,8,9,6,7,8,7,6,8,5,8,7,8,7,8
1537.jpg,urban,7,6,8,8,6,5,7,4,7,5,4,8,7,6,7
1549.jpg,urban,6,4,7,5,6,5,3,4,6,8,7,6,7,8,8
1555.jpg,urban,6,4,7,5,6,5,3,4,6,8,7,6,7,8,8
1556.jpg,urban,6,7,8,5,7,6,7,4,8,8,6,7,8,9,8
1563.jpg,urban,4,3,6,5,4,3,6,2,5,6,4,5,7,6,5
1572.jpg,urban,7,8,9,6,7,7,8,6,8,7,8,7,8,9,8
1573.jpg,urban,8,9,7,6,8,8,7,6,7,8,8,7,8,9,9
1585.jpg,urban,6,7,8,5,8,7,6,6,7,8,7,6,9,8,8
1586.jpg,urban,7,8,7,6,7,7,8,6,6,5,8,7,6,8,9
1596.jpg,urban,8,6,7,5,8,7,4,6,6,9,8,7,8,9,9
1597.jpg,urban,4,6,7,3,5,6,7,3,6,8,6,5,8,8,8
1598.jpg,urban,4,5,6,3,7,5,4,3,6,8,7,4,8,8,7
1600.jpg,urban,8,9,7,4,8,8,7,6,8,9,9,6,7,8,9
1608.jpg,urban,4,3,6,5,3,4,5,2,6,4,7,6,4,2,4
1618.jpg,urban,8,9,7,6,7,8,8,5,6,8,7,7,8,9,8
1620.jpg,urban,7,8,6,5,7,7,6,8,6,8,8,7,8,9,9
1622.jpg,urban,7,5,8,6,7,6,4,7,6,8,8,7,6,8,9
1623.jpg,urban,4,3,6,5,4,4,5,3,6,7,6,5,5,6,5
1626.jpg,urban,7,8,8,6,8,7,7,8,6,9,8,7,7,9,9
1629.jpg,urban,4,6,5,3,4,5,6,4,7,6,7,4,5,6,5
1631.jpg,urban,6,5,7,4,8,6,3,6,7,8,7,6,9,8,8
1634.jpg,urban,4,3,6,7,5,4,6,2,6,7,6,8,7,6,5
1636.jpg,urban,8,7,8,6,7,7,6,7,8,7,8,7,6,8,8
1641.jpg,urban,8,7,8,6,7,8,7,6,8,7,8,7,6,8,9
1652.jpg,urban,8,9,6,7,7,8,8,7,8,6,6,7,8,8,8
1654.jpg,urban,6,4,7,5,6,5,3,7,6,8,8,6,7,8,9
1657.jpg,urban,8,7,8,6,7,7,6,5,6,8,8,7,7,8,9
